"id","objetivo_id","numero","titulo","descricao","unidade_adm_id"
"15","4","2","Fomentar o uso do Metabase, alcançando pelo menos 50 usuários ativos (login nos últimos 30 dias e conta criada há mais de 3 meses)","","42"
"14","4","1","Implantar nova ferramenta de BI substituindo o Pentaho Server, tornando-se a base para 100% dos dashboards desenvolvidos no segundo semestre","<ul> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Pensar em como atender demandas de acesso restrito (painel, indicador ou nivel de linha);</span></li> <ul> <li style=""font-weight: 400;"" aria-level=""3""><span style=""font-weight: 400;"">Delega&ccedil;&atilde;o de libera&ccedil;&atilde;o de acesso</span></li> </ul> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Implementar vinculo de produtos -&gt; Repositorio</span></li> </ul>","42"
"16","5","1","Identificar e desenvolver um produto baseado em Ciência de Dados de forma a resolver problemas reais e impactantes para o negócio.","","42"
"17","5","2","Receber pelo menos 1 reconhecimento (publicação, prêmio, certificado ou outro) referente a projeto inédito (ainda não premiado), com pelo menos 3 submissões ou apresentações realizadas ao longo do ano","","42"
"18","5","3","Institucionalizar o uso da Susi e como assistente virtual, garantindo uma média de pelo menos 50 interações por dia nas diferentes soluções: Contratos, Módulo, Indicadores, etc","","42"
"19","5","4","Produzir nova versão do Imuniza Goiás com público alvo e calendário expandido, além de integração com Gov.BR e regras customizáveis para o calendário","","42"
"20","6","1","Implantar novo processo de atendimento de requisições, inclusive reestruturando filas no helpdesk, garantindo 100% das requisições tratados no novo formato a partir do segundo semestre","","42"
"21","6","2","Implementar pelo menos 5 indicadores de gestão de projetos (principalmente relacionados a cronograma), com relatórios mensais publicados e utilizados em reuniões de acompanhamento","","42"
"22","6","3","Definir e adotar formalmente um processo de abertura, gestão e encerramento de projetos, com 100% dos projetos do segundo semestre registrados e acompanhados conforme o processo","","42"
"23","7","1","Publicar catálogo do data lake e dicionário de pelo menos 12 das principais bases de dados","","42"
"24","7","2","Mapear e disponibilizar linhagem de dados de pelo menos 12 tabelas principais do Data Lake, com rastreabilidade acessível via ferramenta de governança e atualização automática.","","42"
"25","7","3","Implementar arquitetura medalhão (Bronze, Silver, Gold - inclusive com suporte ao FHIR) no Data Lake, com critérios de classificação definidos e pelo menos 50 das tabelas existentes categorizadas e processadas segundo o novo padrão","","42"
"4","1","4","Disponibilizar dados da Federalização RNDS e dos Modelos de Informação desenvolvidos pelo Núcleo de Padronização de Informação em Saúde em servidor FHIR para consumo do Meu PEP, alinhando com a GETEC a disponibilização em produção para o cidadão de pelo menos 2 tipos de documentos (ex: RIA, RAC, RA, REL, RPM, RDM, etc) da Federalização e pelo menos 2 Modelos de Informação produzidos pelo Núcleo","<ul> <li aria-level=""2""><span style=""font-weight: 400;"">Realizar a carga dos dados para o MedPlum</span></li> </ul> <ul> <li style=""font-weight: 400;"" aria-level=""2""><span style=""font-weight: 400;"">Disponibilizar a API de de consumo para o Meu PEP</span></li> </ul>","42"
