"id","nome","escopo","entregaveis","atividades","faturavel","contrato_id"
11,"Suporte Ecossistema BI","<p>Por evento/Manuten&ccedil;&atilde;o</p>","<p>Relat&oacute;rio das atividades realizadas.</p>","<p>Resolu&ccedil;&atilde;o de problemas encontrados, suporte aos usu&aacute;rios e desenvolvedores</p>",True,1
6,"Desenvolver Camada Semântica ","<p>Por camada, a cada conjunto de 10 (dez) entidades</p>","<p>Camada sem&acirc;ntica e documenta&ccedil;&atilde;o pertinente; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Desenvolver e documentar camada sem&acirc;ntica.</p>",True,1
15,"Documentação Customizada de Solução","<p>Por Documenta&ccedil;&atilde;o</p>","<p>Documenta&ccedil;&atilde;o espec&iacute;fica / customizada da Solu&ccedil;&atilde;o de TI.</p>","<p>Elabora&ccedil;&atilde;o de documenta&ccedil;&otilde;es espec&iacute;ficas / customizadas relacionadas com processo, modelos, servi&ccedil;os ou solu&ccedil;&otilde;es de TI.</p>",True,1
115,"Serviço NÃO FATURÁVEL","<p>Servi&ccedil;o N&Atilde;O FATUR&Aacute;VEL</p>","<p>Servi&ccedil;o N&Atilde;O FATUR&Aacute;VEL</p>","<p>Servi&ccedil;o N&Atilde;O FATUR&Aacute;VEL</p>",False,3
20,"Modelagem / Desenvolvimento do Projeto de Machine Learning - Estão inclusas nessas atividades as subatividades: Engenharia de Recursos (Feature Engineering), Treinamento,  Seleção do Modelo e Avaliação do Modelo","<p>Por modelagem at&eacute; 10 (dez) v&aacute;ri&aacute;veis</p>","<p>Modelo Selecionado, treinado, assim como os retornos de erro e acertos; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Engenharia de Recursos (Feature Engineering), Treinamento, &nbsp;Sele&ccedil;&atilde;o do Modelo e Avalia&ccedil;&atilde;o do Modelo</p>",True,1
22,"Implantar / realizar deploy de Solução Analítica","<p>Por disponibiliza&ccedil;&atilde;o.</p>","<p>Disponibiliza&ccedil;&atilde;o da Solu&ccedil;&atilde;o para utiliza&ccedil;&atilde;o direta ou integrada a outra solu&ccedil;&atilde;o; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Disponibiliza&ccedil;&atilde;o da Solu&ccedil;&atilde;o para utiliza&ccedil;&atilde;o</p>",True,1
23,"Testar / Avaliar Protótipos /  Soluções Analíticas - Big Data, por cenário","<p>Por evento, at&eacute; 10 (dez) entidades</p>","<p>Relat&oacute;rio de testes e conformidade do comportamento dos dados; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Realizar testes com dados para validar o comportamento / processamento dos mesmos</p>",True,1
24,"Avaliar Qualidade de Dados","<p>Por avalia&ccedil;&atilde;o, at&eacute; 10 (dez) entidade de dados</p>","<p>Relat&oacute;rios/Estat&iacute;sticas Melhoria dos Dados Analisados; Modelagem e Scripts desenvolvidos (quando necess&aacute;rio) ; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Analisar e avaliar os Dados propondo melhorias.</p>",True,1
25,"Criação e otimização Consultas - Necessidade Específica","<p>Por evento, at&eacute; 10 (dez) entidades</p>","<p>script criado com Select / consulta desejada; &nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Criar consulta</p>",True,1
27,"Configurar/Gerenciar Segurança ambiente Big Data","<p>Por ocorr&ecirc;ncia de &nbsp;Inclus&atilde;o de usu&aacute;rios em grupo de permiss&atilde;o e/ou concess&atilde;o de privil&eacute;gios;</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Criar grupos e usu&aacute;rios que garantam a seguran&ccedil;a do ambiente Big Data.</p>",True,1
28,"Atualizar/Ajustar configuração de produtos que compõem o ambiente de Big Data","<p>A cada 02 (duas) altera&ccedil;&otilde;es de configura&ccedil;&otilde;es e/ou corre&ccedil;&otilde;es</p>","<p>Relat&oacute;rio das atualiza&ccedil;&otilde;es realizadas.</p>","<p>Atualiza&ccedil;&atilde;o &nbsp;e Ajuste de parametros de cofigura&ccedil;&atilde;o de produtos do ecosistemas de Big Data.</p>",True,1
32,"Desenvolver Processos de Integração de Dados","<p>Por processo, at&eacute; 2 (duas) fontes de dados</p>","<p>Processo atualizado; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Discutir, &nbsp;pesquisar sobre, escrever e atualiza processos de integra&ccedil;&atilde;o e qualidade de Dados.</p>",True,1
33,"Desenvolver Processos que buscam garantir a Qualidade dos dados","<p>Por processo, at&eacute; 10 (dez) elementos de dados&nbsp;</p>","<p>Processo atualizado; Relat&oacute;rio das atividades realizadas;</p>","<p>Discutir, &nbsp;pesquisar sobre, escrever e atualiza processos de integra&ccedil;&atilde;o e qualidade de Dados.</p>",True,1
34,"Gerenciar os Dados da base corporativa","<p>Por evento, com integra&ccedil;&atilde;o com at&eacute; 5 (cinco) sistemas e em at&eacute; 5 (cinco) atributos</p>","<p>Relat&oacute;rio das atividades realizadas.</p>","<p>Gerir os Modelos de Dados existentes.</p>",True,1
35,"Documentar padrões e metodologia para modelos de dados","<p>Por Documenta&ccedil;&atilde;o</p>","<p>Documento de padr&otilde;es e metodologia para cria&ccedil;&atilde;o de Modelos de Dados atualizada; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Fazer reuni&otilde;es, registrar atas e definir os padr&otilde;es para a cria&ccedil;&atilde;o de Modelo de Dados em consenso com as equipes de &nbsp;desenvolvimento, &nbsp;Administra&ccedil;&atilde;o de &nbsp;Banco de Dados e Suporte T&eacute;cnico.</p>",True,1
36,"Administrar contas de usuários e senhas juntamente com as políticas de segurança e acesso as Bases de Dados","<p>A cada solicita&ccedil;&atilde;o de atividades</p>","<p>Usu&aacute;rios Cadastrados/Alterados; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Manter a estrutura de seguran&ccedil;a com a cria&ccedil;&atilde;o de grupos e usu&aacute;rios para acesso aos Bancos de Dados com as atividades : &nbsp;reiniciar ou desbloquear contas de usu&aacute;rios; &nbsp;criar/definir senhas de contas de usu&aacute;rios; &nbsp;conceder privil&eacute;gios &nbsp;a contas de usu&aacute;rios &nbsp;nos diversos ambientes de bancos de dados</p>",True,1
37,"Alterar e monitorar scripts que auxiliam na administração das Bases de Dados","<p>Por processo alterado ou criado</p>","<p>Scripts documentados; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Criar, alterar e monitorar Scripts que auxiliam a administra&ccedil;&atilde;o dos Bancos de Dados.</p>",True,1
29,"Suporte Ecossistema Big Data - A Cada Reativação","<p>A cada reativa&ccedil;&otilde;es fluxos de carga e/ou Investigar inconformidade de dados.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","<p>Relat&oacute;rio das atividades realizadas.</p>","<p>Resolu&ccedil;&atilde;o de problemas encontrados, suporte aos usu&aacute;rios (equipes de An&aacute;lise de Dados, Arquitetura de Dados, Desenvolvimento).</p>",True,1
31,"Implantar serviço / componente em ambiente Big Data - Por Ativação","<p>Por ativa&ccedil;&atilde;o de servi&ccedil;os single-node em distribui&ccedil;&atilde;o e/ou<br />Realiza&ccedil;&atilde;o de deploy de rotina homologada;</p>","<p>&nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Instalar e configurar softwares e rotinas de Big Data.</p>",True,1
38,"Monitorar e manter objetos dos sistemas criados nas Bases de Dados","<p>Por base de dados</p>","<p>Relat&oacute;rio das atualiza&ccedil;&otilde;es realizadas.</p>","<p>Atualizar e corrigir falhas de objetos no ambiente aplicando as configura&ccedil;&otilde;es e corre&ccedil;&otilde;es necess&aacute;rias.</p>",True,1
39,"Monitorar e Prever Recursos de Hardware (capacity planning) para os ambiente de bases de dados","<p>Por amibiente</p>","<p>Relat&oacute;rio de Necessidades de Recursos; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Monitorar e analisar como os recursos &nbsp;dispon&iacute;veis est&atilde;o sendo alocados, a capacidade dispon&iacute;vel e desempenho &nbsp;e sugerir recursos para os ambientes de bases de dados existentes e futuros a serem implementados.</p>",True,1
40,"Atualizar as versões de produtos que compõem o ambiente de Banco de Dados e/ou das bases de dados","<p>Por ambiente</p>","<p>Atualizar o ambiente aplicando as configura&ccedil;&otilde;es necess&aacute;rias e colocar o ambiente em produ&ccedil;&atilde;o novamente; Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Atualizar o ambiente aplicando as configura&ccedil;&otilde;es necess&aacute;rias e colocar o ambiente em produ&ccedil;&atilde;o novamente.</p>",True,1
41,"Heath checking do Ambiente de Redes, Storage, Backup, Segurança, Sistemas Operaconais, Midleware, Virtualização e Banco de Dados","<p>Por ambiente</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;</p>",True,1
26,"Configurar e Gerenciar Arquitetura Big Data - Por Integração","<p>Por integra&ccedil;&atilde;o de solu&ccedil;&otilde;es em instala&ccedil;&atilde;o com distro;<br />Avalia&ccedil;&atilde;o e reconfigura&ccedil;&atilde;o de uso de recursos para servi&ccedil;os (com ou sem distro);</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;<br />Servi&ccedil;os ativos e operacionais</p>","<p>Instalar e atualizar o ambiente de Big Data. Definir estrutura f&iacute;sica, monitorar performance do ambiente, verificar logs de erros, etc.</p>",True,1
42,"Configurar e Gerenciar Arquitetura Big Data - Por Resolução","<p>Por resolu&ccedil;&atilde;o de problema de funcionamento e/ou performance em servi&ccedil;o especifico ou integra&ccedil;&atilde;o entre eles;<br />Atualiza&ccedil;&atilde;o de vers&atilde;o de ambiente bigdata (aut&ocirc;nomo ou distro - single-node ou cluster);</p>","<p>Relat&oacute;rio das atividades realizadas;&nbsp;<br />Servi&ccedil;os ativos e operacionais</p>","<p>Instalar e atualizar o ambiente de Big Data. Definir estrutura f&iacute;sica, monitorar performance do ambiente, verificar logs de erros, etc.</p>",True,1
43,"Suporte Ecossistema Big Data - Por evento de Manutenção","<p>Por evento de manuten&ccedil;&atilde;o na arquitetura de Dados/Desenvolvimento (inclus&atilde;o/modifica&ccedil;&atilde;o de atributos, corre&ccedil;&atilde;o de fluxos de carga);</p>","<p>Relat&oacute;rio das atividades realizadas.</p>","<p>Resolu&ccedil;&atilde;o de problemas encontrados, suporte aos usu&aacute;rios (equipes de An&aacute;lise de Dados, Arquitetura de Dados, Desenvolvimento).</p>",True,1
44,"Implantar serviço / componente em ambiente Big Data - A Cada Instalação","<p>A cada instala&ccedil;&atilde;o de servi&ccedil;os multi-node (cluster) em distribui&ccedil;&atilde;o;</p>","<p>&nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Instalar e configurar softwares e rotinas de Big Data.</p>",True,1
45,"Implantar serviço / componente em ambiente Big Data - A Cada Instalação e Configuração","<p>A cada instala&ccedil;&atilde;o e configura&ccedil;&atilde;o de servi&ccedil;o multi-node (cluster) aut&ocirc;nomo (sem distro) e com autentica&ccedil;&atilde;o kerberos;</p>","<p>&nbsp;Relat&oacute;rio das atividades realizadas;&nbsp;</p>","<p>Instalar e configurar softwares e rotinas de Big Data.</p>",True,1
46,"Serviço NÃO faturável","","","",False,1
47,"Reunião","<p><span dir=""ltr"" style=""left: 375.019px; top: 1136.72px; font-size: 15.6815px; font-family: sans-serif; transform: scaleX(0.884035);"" role=""presentation"">Por Evento</span><span dir=""ltr"" style=""left: 443.576px; top: 1136.72px; font-size: 15.6815px; font-family: sans-serif;"" role=""presentation""> </span></p>","<p><span dir=""ltr"" style=""left: 588.768px; top: 1127.09px; font-size: 15.6815px; font-family: sans-serif; transform: scaleX(0.900964);"" role=""presentation"">Ata e evid&ecirc;ncia de </span><span dir=""ltr"" style=""left: 588.768px; top: 1146.34px; font-size: 15.6815px; font-family: sans-serif; transform: scaleX(0.890054);"" role=""presentation"">Reuni&atilde;o</span></p>","<p>Escopo da Reuni&atilde;o Realizada e Objetivos a Atingir ou Resultados Esperados<br role=""presentation"" /><br /></p>",True,1
48,"Desenvolver Protótipos de Soluções Analíticas","<p>Por Prot&oacute;tipo</p>","<p>Relat&oacute;rio de Atividades Realizadas</p>","<p>Desenvolver em solu&ccedil;&atilde;o anal&iacute;tica, forma de visualiza&ccedil;&atilde;o dos dados, mesmo que diferente da definida</p>",True,1
54,"[Análise e Projeto] Revisão/Evolução de Requisitos Existentes (Item 4)","<p>Por Funcionalidade / Est&oacute;ria de Usu&aacute;rio</p>","<p>Documento de Requisitos revisado e atualizado.</p>","<p>Reuni&otilde;es com os usu&aacute;rios, estudo/an&aacute;lise dos Documentos de Requisitos Existentes, valida&ccedil;&otilde;es e/ou altera&ccedil;&otilde;es nas regras de neg&oacute;cio levantadas, atualiza&ccedil;&atilde;o das documenta&ccedil;&otilde;es relacionadas.</p>",True,2
117,"Ambiente Crítico/Complexo de Big Data - Testar /  Avaliar Protótipos / Soluções Analíticas,  Preditivas ou Prescritivas (Item 2)","<p>Por evento, at&eacute; 10 (dez) entidades</p>","<p>Relat&oacute;rio de testes e conformidade do comportamento dos dados;</p>
<p>Relat&oacute;rio das atividades realizadas;</p>","<p>Realizar testes com dados para validar o comportamento / processamento dos mesmos em ambientes Cr&iacute;ticos/Complexos de Big Data</p>",True,3
116,"Ambiente Crítico/Complexo de Big Data -  Implantar / realizar deploy de Solução Analítica,  Preditiva ou Prescritiva (Item 1)","<p>Por disponibiliza&ccedil;&atilde;o</p>","<p>Disponibiliza&ccedil;&atilde;o da Solu&ccedil;&atilde;o para utiliza&ccedil;&atilde;o direta ou integrada a outra solu&ccedil;&atilde;o;</p>
<p>Relat&oacute;rio das atividades realizadas</p>","<p>Disponibiliza&ccedil;&atilde;o da Solu&ccedil;&atilde;o para utiliza&ccedil;&atilde;o em ambientes Cr&iacute;ticos/Complexos de Big Data</p>",True,3
56,"[Análise e Projeto] Gerenciamento de Projeto de Solução de TI (Item 11)","<p>Por hora de gerenciamento</p>","<p>Relat&oacute;rios de acompanhamento do &nbsp;projeto, bem como as altera&ccedil;&otilde;es que se &nbsp;fizerem necess&aacute;rias no planejamento inicial.</p>","<p>Acompanhamento da execu&ccedil;&atilde;o do projeto a partir do que foi planejado, comunica&ccedil;&atilde;o das informa&ccedil;&otilde;es importantes &nbsp;a todos os envolvidos, identifica&ccedil;&atilde;o e tratamento das necessidades de mudan&ccedil;a e replanejamento do projeto quando necess&aacute;rio.</p>
<p>Aten&ccedil;&atilde;o.: As reuni&otilde;es de Gerenciamento ou quaisquer outras reuni&otilde;es necess&aacute;rias para a execu&ccedil;&atilde;o das atividades descritas acima est&atilde;o inclusas nos esfor&ccedil;os estimados para esse servi&ccedil;o e n&atilde;o devem ser faturadas separadamente.</p>",True,2
123,"Ambiente Crítico/Complexo de Big Data -  Desenvolver Processos de Integração de Dados (Item 8)","<p>Por processo, at&eacute; 2 (duas) fontes de dados</p>","<p>Processo atualizado;</p>
<p>Relat&oacute;rio das atividades realizadas;</p>","<p>Discutir, pesquisar sobre, escrever e atualiza processos de integra&ccedil;&atilde;o e qualidade de Dados em ambientes Cr&iacute;ticos/Complexos de Big Data.</p>",True,3
72,"[Codificação] Automatização de novos Processos modelados na disciplina BPM com ferramenta BPMS (Item 20)","<p>Por processo com at&eacute; 05 (cinco) atividades.</p>","<p>Processo automatizado, commits, capturas de tela.</p>","<p>Desenvolvimento completo de automatiza&ccedil;&atilde;o de processos, contemplando os tipos de atividades previstos na nota&ccedil;&atilde;o de modelagem de processos da disciplina BPM (BPMS).</p>",True,2
69,"[Codificação] Implementação de Página Web (HTML, css e javascript) - apenas frontend (Item 19b)","<p>Por p&aacute;gina web com diagrama&ccedil;&atilde;o visual customizada.</p>","<p>P&aacute;gina web implementada, commits, capturas de tela.</p>","<p>Desenvolvimento completo de nova p&aacute;gina web (HTML, css e javascript) composta apenas da camada de frontend.</p>",True,2
129,"Ambiente Crítico/Complexo de Big Data -  Transferência de Tecnologia (Item 14)","<p>Por Evento</p>","<p>Materiais elaborados;</p>
<p>V&iacute;deos;</p>
<p>Slides;</p>
<p>Listas de Participantes;</p>","<p>Workshops, treinamentos, reuni&otilde;es ou qualquer outra forma de transfer&ecirc;ncia de tecnologia.</p>",True,3
81,"[Codificação] Implementação de novo Recurso do tipo Regra de Negócio (backend)  (Item 18a)","<p>Por Regra de Neg&oacute;cio.</p>","<p>Recurso implementado, commits, capturas de tela.</p>","<p>Desenvolvimento completo de novo Recurso (Regra de Neg&oacute;cio) a ser utilizado em uma ou mais aplica&ccedil;&otilde;es.</p>",True,2
153,"Configuração de Plataforma de IA (item 11)","<p>Por ocorr&ecirc;ncia</p>","<p>Relat&oacute;rio de atividades</p>","<p>Defini&ccedil;&atilde;o e realiza&ccedil;&atilde;o da configura&ccedil;&atilde;o da plataforma</p>",True,4
63,"[Codificação] Manutenções em Sistemas Existentes (corretivas, evolutivas, adaptativas ou perfectivas) (Item 21c)","<p>Por evento de inclus&atilde;o, altera&ccedil;&atilde;o ou exclus&atilde;o de valida&ccedil;&otilde;es de dados.</p>","<p>1. Manuten&ccedil;&atilde;o implementada;<br />2. C&oacute;digos fonte dos artefatos implementados armazenados e versionados no reposit&oacute;rio de c&oacute;digos fonte;<br />3. Commits, capturas de tela e demais evid&ecirc;ncias dos artefatos entregues.</p>","<p>1. Implementa&ccedil;&atilde;o da manuten&ccedil;&atilde;o em sistema existente;<br />2. Testes do pr&oacute;prio desenvolvedor com a finalidade de garantir a qualidade dos artefatos entregues.</p>
<p>Aten&ccedil;&atilde;o:&nbsp;<br />(i) As reuni&otilde;es necess&aacute;rias para a execu&ccedil;&atilde;o das atividades de desenvolvimento - incluindo reuni&otilde;es de d&uacute;vidas sobre requisitos com Analistas ou d&uacute;vidas t&eacute;cnicas com outros desenvolvedores - est&atilde;o inclusas nos esfor&ccedil;os estimados para esse servi&ccedil;o e n&atilde;o devem ser faturadas separadamente.<br />(ii) Opera&ccedil;&atilde;o/a&ccedil;&atilde;o de usu&aacute;rio: ato ou conjunto de comandos executados por um usu&aacute;rio em uma funcionalidade de um sistema, com o objetivo de realizar uma tarefa ou atingir um resultado espec&iacute;fico, conforme os requisitos funcionais definidos. As opera&ccedil;&otilde;es podem envolver, entre outras, a&ccedil;&otilde;es como incluir, alterar, excluir, consultar, exportar, aprovar, processar ou imprimir dados, representando a intera&ccedil;&atilde;o direta do usu&aacute;rio com a aplica&ccedil;&atilde;o durante o uso do software. N&atilde;o s&atilde;o consideradas opera&ccedil;&otilde;es/a&ccedil;&otilde;es de usu&aacute;rio: m&eacute;todos, rotinas ou fun&ccedil;&otilde;es internas do software, processos autom&aacute;ticos ou agendados (jobs), eventos disparados por gatilhos (triggers) ou regras de neg&oacute;cio internas, execu&ccedil;&atilde;o de scripts, consultas ou c&aacute;lculos em segundo plano.</p>",True,2
66,"[Codificação] Manutenções em Sistemas Existentes (corretivas, evolutivas, adaptativas ou perfectivas) (Item 21g)","<p>Por evento de exclus&atilde;o de funcionalidade existente, com os devidos ajustes de impacto no sistema.</p>","<p>1. Manuten&ccedil;&atilde;o implementada;<br />2. C&oacute;digos fonte dos artefatos implementados armazenados e versionados no reposit&oacute;rio de c&oacute;digos fonte;<br />3. Commits, capturas de tela e demais evid&ecirc;ncias dos artefatos entregues.</p>","<p>1. Implementa&ccedil;&atilde;o da manuten&ccedil;&atilde;o em sistema existente;<br />2. Testes do pr&oacute;prio desenvolvedor com a finalidade de garantir a qualidade dos artefatos entregues.</p>
<p>Aten&ccedil;&atilde;o:&nbsp;<br />(i) As reuni&otilde;es necess&aacute;rias para a execu&ccedil;&atilde;o das atividades de desenvolvimento - incluindo reuni&otilde;es de d&uacute;vidas sobre requisitos com Analistas ou d&uacute;vidas t&eacute;cnicas com outros desenvolvedores - est&atilde;o inclusas nos esfor&ccedil;os estimados para esse servi&ccedil;o e n&atilde;o devem ser faturadas separadamente.<br />(ii) Opera&ccedil;&atilde;o/a&ccedil;&atilde;o de usu&aacute;rio: ato ou conjunto de comandos executados por um usu&aacute;rio em uma funcionalidade de um sistema, com o objetivo de realizar uma tarefa ou atingir um resultado espec&iacute;fico, conforme os requisitos funcionais definidos. As opera&ccedil;&otilde;es podem envolver, entre outras, a&ccedil;&otilde;es como incluir, alterar, excluir, consultar, exportar, aprovar, processar ou imprimir dados, representando a intera&ccedil;&atilde;o direta do usu&aacute;rio com a aplica&ccedil;&atilde;o durante o uso do software. N&atilde;o s&atilde;o consideradas opera&ccedil;&otilde;es/a&ccedil;&otilde;es de usu&aacute;rio: m&eacute;todos, rotinas ou fun&ccedil;&otilde;es internas do software, processos autom&aacute;ticos ou agendados (jobs), eventos disparados por gatilhos (triggers) ou regras de neg&oacute;cio internas, execu&ccedil;&atilde;o de scripts, consultas ou c&aacute;lculos em segundo plano.</p>",True,2
